grupo;Z-score Geral;Z-score_Icms;Z-score_Empresas;Z-score_Empregos;_QuocienteLocacional;_EmpresasRS;;;;
FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE USO GERAL;7.222.407.784.324.500;0.9362465274401918;1.826.866.761.755.280;30.366.600.225.595.100;22.399.680.122.753.900;992;;;;
COMÉRCIO; MANUTENÇÃO E REPARAÇÃO DE MOTOCICLETAS; PEÇAS E ACESSÓRIOS;7.216.951.456.345.610;-0.06135890887584417;9.260.243.101.526.290;60.426.089.371.001.200;0.714757310467611;4996;;
FABRICAÇÃO DE ARTEFATOS DE CONCRETO; CIMENTO; FIBROCIMENTO; GESSO E MATERIAIS SEMELHANTES;7.168.865.873.981.890;0.4597095659520003;4.110.346.506.490.130;18.107.031.073.772.000;12.923.951.305.861.100;2222;
FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES;7.140.396.885.758.660;31.851.624.142.967.300;9.598.870.537.949.780;4.867.789.514.726.920;2.035.751.104.128.800;525;;;;
CURTIMENTO E OUTRAS PREPARAÇÕES DE COURO;61.776.823.870.968.200;-0.09815006010555861;6.090.108.978.966.960;18.857.262.932.019.400;7.063.537.146.481.600;336;;;;
GERAÇÃO; TRANSMISSÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;5.976.785.095.133.470;13.635.590.208.731.000;23.745.306.029.721.700;22.441.463.110.293.800;0.9977044558893542;1287;;;
TRATAMENTO DE DADOS; HOSPEDAGEM NA INTERNET E OUTRAS ATIVIDADES RELACIONADAS;5.916.871.349.966.630;-0.1521609196901858;4.372.111.257.715.830;18.226.287.583.031.000;0.9399254596689943;2363;;;
EXTRAÇÃO DE PEDRA; AREIA E ARGILA;57.323.890.283.264.900;0.18573585999283118;2.883.208.204.644.820;10.797.691.206.280.800;16.072.534.457.392.600;1561;;;
RECUPERAÇÃO DE MATERIAIS;5.728.211.908.317.660;-0.10476712738888229;394.697.559.792.374;4.702.599.433.062.870;13.348.014.313.849.900;2134;;;;
FABRICAÇÃO DE ARTIGOS DE JOALHERIA; BIJUTERIA E SEMELHANTES;5.538.390.265.052.860;-0.11892583905754456;3.735.336.011.826.360;7.501.874.950.396.360;12.850.504.850.759.100;2020;;;
ALUGUEL DE OBJETOS PESSOAIS E DOMÉSTICOS;55.057.976.042.520.800;-0.18367656544280897;52.576.558.416.495.900;16.539.693.963.697.100;10.192.314.755.006.900;2840;;;;
PECUÁRIA;54.067.149.509.547.100;0.02521378651833587;35.441.177.892.997.800;50.039.587.652.989.900;0.11292931860567781;1917;;;;
COMÉRCIO ATACADISTA DE MADEIRA; FERRAGENS; FERRAMENTAS; MATERIAL ELÉTRICO E MATERIAL DE CONSTRUÇÃO;5.296.440.616.299.850;18.430.703.596.374.300;3.506.988.037.352.870;13.763.925.836.576.900;10.652.277.558.090.000;1897;
ATIVIDADES DE RECREAÇÃO E LAZER;52.416.016.970.180.300;-0.1835089144191932;37.947.436.149.414.100;5.530.890.097.370.690;12.403.640.552.131.300;2052;;;;
ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANÇA;5.124.465.349.975.390;-0.18385343236863608;26.567.167.177.686.800;13.308.582.801.224.400;1.434.850.914.888.440;1439;;;;
SERVIÇOS DE PRÉ-IMPRESSÃO E ACABAMENTOS GRÁFICOS;4.948.281.346.749.650;-0.14534655593789958;4.247.726.588.693.690;16.734.840.978.848.100;1.128.949.213.755.700;2296;;;;
FABRICAÇÃO DE ARTIGOS DE MALHARIA E TRICOTAGEM;4.900.321.706.035.070;-0.027465227139861506;23.949.519.665.429.700;5.318.396.680.872.870;18.251.842.298.831.000;1298;;;;
ALUGUEL DE MÁQUINAS E EQUIPAMENTOS SEM OPERADOR;4.843.829.767.591.110;-0.16465740611270094;5.693.930.427.025.760;9.318.910.491.469.520;0.6899284263133223;3075;;;;
CONSTRUÇÃO DE RODOVIAS; FERROVIAS; OBRAS URBANAS E OBRAS-DE-ARTE ESPECIAIS;465.950.847.750.556;-0.15120279282953267;2.162.891.016.874.800;166.304.186.591.291;13.923.895.690.440.700;1173;;
